r_left,r_right,b_left,b_right,u_left,u_right,lower_bound_F,upper_bound_F
0.5273834375,0.5351312500000001,0.914553566143524665655727164062517892124999999998,0.957276783071762332827863582031258946062499999999,0.0625,0.125,"[-3.2350117776816147419, -3.2350117776816147419]","[-0.24349469488645911208, -0.24349469488645911208]"
0.5273834375,0.5351312500000001,0.957276783071762332827863582031258946062499999999,0.9786383915358811664139317910156294730312499999995,0.0625,0.09375,"[-2.2567976287704083482, -2.2567976287704083482]","[-0.58743477606396987678, -0.58743477606396987678]"
0.5273834375,0.5351312500000001,0.9786383915358811664139317910156294730312499999995,1,0.0625,0.09375,"[-2.0564751765859852206, -2.0564751765859852206]","[-0.35541973734838222532, -0.35541973734838222532]"
0.5273834375,0.5351312500000001,0.957276783071762332827863582031258946062499999999,0.9786383915358811664139317910156294730312499999995,0.09375,0.125,"[-2.2899276638487733315, -2.2899276638487733315]","[-0.62213731562461782598, -0.62213731562461782598]"
0.5273834375,0.5351312500000001,0.9786383915358811664139317910156294730312499999995,1,0.09375,0.125,"[-2.0845338798535570923, -2.0845338798535570923]","[-0.38604401917463831984, -0.38604401917463831984]"
0.5273834375,0.5351312500000001,0.914553566143524665655727164062517892124999999998,0.957276783071762332827863582031258946062499999999,0.125,0.1875,"[-3.3237619514523557562, -3.3237619514523557562]","[-0.34223902291698976574, -0.34223902291698976574]"
0.5273834375,0.5351312500000001,0.957276783071762332827863582031258946062499999999,0.9786383915358811664139317910156294730312499999995,0.125,0.15625,"[-2.3323850434733421899, -2.3323850434733421899]","[-0.66448048216358068796, -0.66448048216358068796]"
0.5273834375,0.5351312500000001,0.9786383915358811664139317910156294730312499999995,1,0.125,0.15625,"[-2.1227216724826631911, -2.1227216724826631911]","[-0.42484855926893544398, -0.42484855926893544398]"
0.5273834375,0.5351312500000001,0.957276783071762332827863582031258946062499999999,1,0.15625,0.1875,"[-2.8253285059903254783, -2.8253285059903254783]","[-0.017808426617919675961, -0.017808426617919675961]"
0.5273834375,0.5351312500000001,0.914553566143524665655727164062517892124999999998,0.957276783071762332827863582031258946062499999999,0.1875,0.25,"[-3.4414066318823315349, -3.4414066318823315349]","[-0.46191306119845648714, -0.46191306119845648714]"
0.5273834375,0.5351312500000001,0.957276783071762332827863582031258946062499999999,1,0.1875,0.21875,"[-2.8812472367919368388, -2.8812472367919368388]","[-0.070190939585321271421, -0.070190939585321271421]"
0.5273834375,0.5351312500000001,0.957276783071762332827863582031258946062499999999,1,0.21875,0.25,"[-2.9430923596704743339, -2.9430923596704743339]","[-0.12773796206109142015, -0.12773796206109142015]"
0.5273834375,0.5351312500000001,0.914553566143524665655727164062517892124999999998,0.957276783071762332827863582031258946062499999999,0.25,0.3125,"[-3.580366782930963776, -3.580366782930963776]","[-0.59827503569870310596, -0.59827503569870310596]"
0.5273834375,0.5351312500000001,0.957276783071762332827863582031258946062499999999,1,0.25,0.3125,"[-3.180404364119576055, -3.180404364119576055]","[-0.091039169206540176971, -0.091039169206540176971]"
0.5273834375,0.5351312500000001,0.914553566143524665655727164062517892124999999998,0.957276783071762332827863582031258946062499999999,0.3125,0.375,"[-3.7360191178784716293, -3.7360191178784716293]","[-0.74843150205125519303, -0.74843150205125519303]"
0.5273834375,0.5351312500000001,0.957276783071762332827863582031258946062499999999,1,0.3125,0.375,"[-3.3277308893619426122, -3.3277308893619426122]","[-0.23451490797215643336, -0.23451490797215643336]"
0.5273834375,0.5351312500000001,0.914553566143524665655727164062517892124999999998,0.957276783071762332827863582031258946062499999999,0.375,0.4375,"[-3.9052936925404053703, -3.9052936925404053703]","[-0.9103031004340399468, -0.9103031004340399468]"
0.5273834375,0.5351312500000001,0.957276783071762332827863582031258946062499999999,1,0.375,0.4375,"[-3.4901314203120086255, -3.4901314203120086255]","[-0.39073234471645917898, -0.39073234471645917898]"
0.5273834375,0.5351312500000001,0.914553566143524665655727164062517892124999999998,0.957276783071762332827863582031258946062499999999,0.4375,0.5,"[-4.0860273500054500317, -4.0860273500054500317]","[-1.0823356654708622404, -1.0823356654708622404]"
0.5273834375,0.5351312500000001,0.957276783071762332827863582031258946062499999999,1,0.4375,0.5,"[-3.6651123043730371442, -3.6651123043730371442]","[-0.55794528348325422851, -0.55794528348325422851]"
0.5273834375,0.5351312500000001,0.914553566143524665655727164062517892124999999998,0.957276783071762332827863582031258946062499999999,0.5,0.5625,"[-4.2766274837845390522, -4.2766274837845390522]","[-1.2633314927957794982, -1.2633314927957794982]"
0.5273834375,0.5351312500000001,0.957276783071762332827863582031258946062499999999,1,0.5,0.5625,"[-3.850858532153919267, -3.850858532153919267]","[-0.73481793526709660025, -0.73481793526709660025]"
0.5273834375,0.5351312500000001,0.914553566143524665655727164062517892124999999998,1,0.5625,0.625,"[-5.3362697511131660377, -5.3362697511131660377]","[-0.017592047598623733462, -0.017592047598623733462]"
0.5273834375,0.5351312500000001,0.914553566143524665655727164062517892124999999998,1,0.625,0.75,"[-5.8851763307424622695, -5.8851763307424622695]","[-0.076313814539113761226, -0.076313814539113761226]"
0.5273834375,0.5351312500000001,0.914553566143524665655727164062517892124999999998,1,0.75,1,"[-7.0063520898017870309, -7.0063520898017870309]","[-0.25753204952159464147, -0.25753204952159464147]"
0.5351312500000001,0.5428790625000001,0.896321895662443455196405818222673677256249999998,0.948160947831221727598202909111336838628124999999,0,0.0625,"[-3.5563786696591725978, -3.5563786696591725978]","[-0.1222345135660076465, -0.1222345135660076465]"
0.5351312500000001,0.5428790625000001,0.948160947831221727598202909111336838628124999999,0.9740804739156108637991014545556684193140624999995,0,0.03125,"[-2.4527572758953168908, -2.4527572758953168908]","[-0.54373851031999131944, -0.54373851031999131944]"
0.5351312500000001,0.5428790625000001,0.9740804739156108637991014545556684193140624999995,1,0,0.03125,"[-2.2321438256778960429, -2.2321438256778960429]","[-0.27415405006094090146, -0.27415405006094090146]"
0.5351312500000001,0.5428790625000001,0.948160947831221727598202909111336838628124999999,0.9740804739156108637991014545556684193140624999995,0.03125,0.0625,"[-2.456887185087653247, -2.456887185087653247]","[-0.55514081072618404189, -0.55514081072618404189]"
0.5351312500000001,0.5428790625000001,0.9740804739156108637991014545556684193140624999995,1,0.03125,0.0625,"[-2.2266825442534226021, -2.2266825442534226021]","[-0.27864739727118731372, -0.27864739727118731372]"
0.5351312500000001,0.5428790625000001,0.896321895662443455196405818222673677256249999998,0.948160947831221727598202909111336838628124999999,0.0625,0.125,"[-3.6005518912191845082, -3.6005518912191845082]","[-0.18825348962494589666, -0.18825348962494589666]"
0.5351312500000001,0.5428790625000001,0.948160947831221727598202909111336838628124999999,0.9740804739156108637991014545556684193140624999995,0.0625,0.09375,"[-2.4756351525733868435, -2.4756351525733868435]","[-0.57742097186200902481, -0.57742097186200902481]"
0.5351312500000001,0.5428790625000001,0.9740804739156108637991014545556684193140624999995,1,0.0625,0.09375,"[-2.2378949718100549227, -2.2378949718100549227]","[-0.29516783930510243072, -0.29516783930510243072]"
0.5351312500000001,0.5428790625000001,0.948160947831221727598202909111336838628124999999,0.9740804739156108637991014545556684193140624999995,0.09375,0.125,"[-2.5057295187312802476, -2.5057295187312802476]","[-0.6086190090668613939, -0.6086190090668613939]"
0.5351312500000001,0.5428790625000001,0.9740804739156108637991014545556684193140624999995,1,0.09375,0.125,"[-2.2618149738280428629, -2.2618149738280428629]","[-0.32144543511425410776, -0.32144543511425410776]"
0.5351312500000001,0.5428790625000001,0.896321895662443455196405818222673677256249999998,0.948160947831221727598202909111336838628124999999,0.125,0.1875,"[-3.6859326066213760065, -3.6859326066213760065]","[-0.28090529171859429658, -0.28090529171859429658]"
0.5351312500000001,0.5428790625000001,0.948160947831221727598202909111336838628124999999,0.9740804739156108637991014545556684193140624999995,0.125,0.15625,"[-2.5449907534844888879, -2.5449907534844888879]","[-0.64731984884806459402, -0.64731984884806459402]"
0.5351312500000001,0.5428790625000001,0.9740804739156108637991014545556684193140624999995,1,0.125,0.15625,"[-2.295869271948320911, -2.295869271948320911]","[-0.35586655329864086417, -0.35586655329864086417]"
0.5351312500000001,0.5428790625000001,0.948160947831221727598202909111336838628124999999,0.9740804739156108637991014545556684193140624999995,0.15625,0.1875,"[-2.5918793530196295727, -2.5918793530196295727]","[-0.69246168646322681095, -0.69246168646322681095]"
0.5351312500000001,0.5428790625000001,0.9740804739156108637991014545556684193140624999995,1,0.15625,0.1875,"[-2.3382745328993350675, -2.3382745328993350675]","[-0.39723478393457994917, -0.39723478393457994917]"
0.5351312500000001,0.5428790625000001,0.896321895662443455196405818222673677256249999998,0.948160947831221727598202909111336838628124999999,0.1875,0.25,"[-3.7991508742538839805, -3.7991508742538839805]","[-0.39386006353547514669, -0.39386006353547514669]"
0.5351312500000001,0.5428790625000001,0.948160947831221727598202909111336838628124999999,0.9740804739156108637991014545556684193140624999995,0.1875,0.21875,"[-2.6452594153020476675, -2.6452594153020476675]","[-0.74322326877323641181, -0.74322326877323641181]"
0.5351312500000001,0.5428790625000001,0.9740804739156108637991014545556684193140624999995,1,0.1875,0.21875,"[-2.3877337719078055578, -2.3877337719078055578]","[-0.44463350877729496125, -0.44463350877729496125]"
0.5351312500000001,0.5428790625000001,0.948160947831221727598202909111336838628124999999,0.9740804739156108637991014545556684193140624999995,0.21875,0.25,"[-2.7042640180374930559, -2.7042640180374930559]","[-0.79895365455215505701, -0.79895365455215505701]"
0.5351312500000001,0.5428790625000001,0.9740804739156108637991014545556684193140624999995,1,0.21875,0.25,"[-2.4432682421984330823, -2.4432682421984330823]","[-0.49734179190404986803, -0.49734179190404986803]"
0.5351312500000001,0.5428790625000001,0.896321895662443455196405818222673677256249999998,0.948160947831221727598202909111336838628124999999,0.25,0.3125,"[-3.9329872302501214243, -3.9329872302501214243]","[-0.52306678779270521229, -0.52306678779270521229]"
0.5351312500000001,0.5428790625000001,0.948160947831221727598202909111336838628124999999,1,0.25,0.28125,"[-3.3019450984379807856, -3.3019450984379807856]","[-0.005067256624483346128, -0.005067256624483346128]"
0.5351312500000001,0.5428790625000001,0.948160947831221727598202909111336838628124999999,1,0.28125,0.3125,"[-3.3698660677788701001, -3.3698660677788701001]","[-0.066970085822217723104, -0.066970085822217723104]"
0.5351312500000001,0.5428790625000001,0.896321895662443455196405818222673677256249999998,0.948160947831221727598202909111336838628124999999,0.3125,0.375,"[-4.0830102623704522813, -4.0830102623704522813]","[-0.66574493043274907134, -0.66574493043274907134]"
0.5351312500000001,0.5428790625000001,0.948160947831221727598202909111336838628124999999,1,0.3125,0.375,"[-3.6081425164357994184, -3.6081425164357994184]","[-0.040557616144459157637, -0.040557616144459157637]"
0.5351312500000001,0.5428790625000001,0.896321895662443455196405818222673677256249999998,0.948160947831221727598202909111336838628124999999,0.375,0.4375,"[-4.2462649635939175852, -4.2462649635939175852]","[-0.81988702690998971345, -0.81988702690998971345]"
0.5351312500000001,0.5428790625000001,0.948160947831221727598202909111336838628124999999,1,0.375,0.4375,"[-3.762980426275669199, -3.762980426275669199]","[-0.18781869196415132417, -0.18781869196415132417]"
0.5351312500000001,0.5428790625000001,0.896321895662443455196405818222673677256249999998,0.948160947831221727598202909111336838628124999999,0.4375,0.5,"[-4.4206627280898675991, -4.4206627280898675991]","[-0.983987262064880297, -0.983987262064880297]"
0.5351312500000001,0.5428790625000001,0.948160947831221727598202909111336838628124999999,1,0.4375,0.5,"[-3.9303094805366192155, -3.9303094805366192155]","[-0.34602849108655447941, -0.34602849108655447941]"
0.5351312500000001,0.5428790625000001,0.896321895662443455196405818222673677256249999998,0.948160947831221727598202909111336838628124999999,0.5,0.5625,"[-4.6046621835983376769, -4.6046621835983376769]","[-1.1568818481144138577, -1.1568818481144138577]"
0.5351312500000001,0.5428790625000001,0.948160947831221727598202909111336838628124999999,1,0.5,0.5625,"[-4.1083221196933639163, -4.1083221196933639163]","[-0.51386114042129926727, -0.51386114042129926727]"
0.5351312500000001,0.5428790625000001,0.896321895662443455196405818222673677256249999998,0.948160947831221727598202909111336838628124999999,0.5625,0.625,"[-4.797087329950235457, -4.797087329950235457]","[-1.3376495449843102126, -1.3376495449843102126]"
0.5351312500000001,0.5428790625000001,0.948160947831221727598202909111336838628124999999,1,0.5625,0.625,"[-4.2956540276747983143, -4.2956540276747983143]","[-0.69027439669246370979, -0.69027439669246370979]"
0.5351312500000001,0.5428790625000001,0.896321895662443455196405818222673677256249999998,0.948160947831221727598202909111336838628124999999,0.625,0.6875,"[-4.9970169674382791669, -4.9970169674382791669]","[-1.5255467220801517403, -1.5255467220801517403]"
0.5351312500000001,0.5428790625000001,0.948160947831221727598202909111336838628124999999,1,0.625,0.6875,"[-4.4912456420670903157, -4.4912456420670903157]","[-0.87443176499634966969, -0.87443176499634966969]"
0.5351312500000001,0.5428790625000001,0.896321895662443455196405818222673677256249999998,0.948160947831221727598202909111336838628124999999,0.6875,0.75,"[-5.203713940386796466, -5.203713940386796466]","[-1.7199633302258423573, -1.7199633302258423573]"
0.5351312500000001,0.5428790625000001,0.948160947831221727598202909111336838628124999999,1,0.6875,0.75,"[-4.6942549993112532292, -4.6942549993112532292]","[-1.0656502794405622314, -1.0656502794405622314]"
0.5351312500000001,0.5428790625000001,0.896321895662443455196405818222673677256249999998,1,0.75,0.875,"[-6.7911142180707422256, -6.7911142180707422256]","[-0.03787686800531761544, -0.03787686800531761544]"
